episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,episode_co2,co2_per_veh,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,250,GAT-DQN,0.9953567058823529,0.4,300,0.0,9,0.001,0.99,-0.7157049081184944,16.172037037037036,447,58.313199105145415,96620162.59599683,216152.4890290757,0.0,0.0,0.0,0.0,0.0,0.0
2,250,GAT-DQN,0.9906978823529412,0.4024096385542169,600,0.0,9,0.001,0.99,-0.7520794890931621,19.0475,413,53.79176755447942,101530731.02757691,245837.12113214747,0.0,0.0,0.0,0.0,0.0,0.0
3,250,GAT-DQN,0.9860390588235294,0.40481927710843374,900,0.0,9,0.001,0.99,-0.7018815152918807,15.474166666666667,486,53.57818930041152,94754004.56440392,194967.08758107803,0.0,0.0,0.0,0.0,0.0,0.0
4,250,GAT-DQN,0.9813802352941177,0.4072289156626506,1200,201.0,9,0.001,0.99,-0.7029280928679243,15.712314814814814,490,59.642857142857146,94895292.5371699,193663.8623207549,201.0,0.0203549691675166,0.0,0.0,0.0,0.0
5,250,GAT-DQN,0.9767214117647058,0.4096385542168675,1500,300.0,9,0.001,0.99,-0.7402839253150674,17.924537037037037,432,53.414351851851855,99938329.91753428,231338.726660959,300.0,0.01314763763298591,0.0,0.0,0.0,0.0
6,250,GAT-DQN,0.9720625882352941,0.41204819277108434,1800,300.0,9,0.001,0.99,-0.6908524617249318,16.43759259259259,449,52.56347438752784,93265082.33286552,207717.33258990094,300.0,0.02804565154016018,0.0,0.0,0.0,0.0
7,250,GAT-DQN,0.9674037647058824,0.41445783132530123,2100,300.0,9,0.001,0.99,-0.6865312215378775,16.253333333333334,409,45.44498777506112,92681714.90761352,226605.65992081544,300.0,0.05369119961125155,0.0,0.0,0.0,0.0
8,250,GAT-DQN,0.9627449411764706,0.4168674698795181,2400,300.0,9,0.001,0.99,-0.7781592602120226,17.494629629629628,513,62.198830409356724,105051500.128623,204778.75268737425,300.0,0.05013448358513415,0.0,0.0,0.0,0.0
9,250,GAT-DQN,0.9580861176470589,0.41927710843373495,2700,300.0,9,0.001,0.99,-0.7418903141158105,17.440370370370367,441,52.600907029478456,100155192.40563431,227109.27983137034,300.0,0.06269477821576099,0.0,0.0,0.0,0.0
10,250,GAT-DQN,0.953427294117647,0.42168674698795183,3000,300.0,9,0.001,0.99,-0.7279485592922387,18.99212962962963,420,48.56666666666667,98273055.50445187,233983.46548679017,300.0,0.09536516115690272,0.0,0.0,0.0,0.0
11,250,GAT-DQN,0.9487684705882353,0.4240963855421687,3300,300.0,9,0.001,0.99,-0.8066687843732094,18.15222222222222,460,54.55652173913043,108900285.89038335,236739.75193561596,300.0,0.10478583282480637,0.0,0.0,0.0,0.0
12,250,GAT-DQN,0.9441096470588235,0.42650602409638555,3600,300.0,9,0.001,0.99,-0.8684697619271184,19.50111111111111,479,64.49269311064718,117243417.86016132,244767.05190012802,300.0,0.083842754624784,0.0,0.0,0.0,0.0
13,250,GAT-DQN,0.9394508235294118,0.42891566265060244,3900,300.0,9,0.001,0.99,-0.6584457386578771,15.268240740740742,453,56.088300220750554,88890174.71881336,196225.55125565862,300.0,0.12736634344483416,0.0,0.0,0.0,0.0
14,250,GAT-DQN,0.934792,0.43132530120481927,4200,300.0,9,0.001,0.99,-0.7269108612399743,18.51212962962963,406,47.91379310344828,98132966.26739648,241706.8134664938,300.0,0.1373330842827757,0.0,0.0,0.0,0.0
15,250,GAT-DQN,0.9301331764705882,0.43373493975903615,4500,300.0,9,0.001,0.99,-0.6922447603197578,16.371944444444445,428,50.9392523364486,93453042.64316706,218348.2304746894,300.0,0.12904241574307282,0.0,0.0,0.0,0.0
16,250,GAT-DQN,0.9254743529411764,0.43614457831325304,4800,300.0,9,0.001,0.99,-0.7835053065472934,17.679444444444442,449,51.86636971046771,105773216.38388473,235575.0921690083,300.0,0.15232793050507704,0.0,0.0,0.0,0.0
17,250,GAT-DQN,0.9208155294117647,0.43855421686746987,5100,300.0,9,0.001,0.99,-0.7354821251883333,16.994814814814816,465,58.06236559139785,99290086.90042491,213527.06860306434,300.0,0.14724229354411364,0.0,0.0,0.0,0.0
18,250,GAT-DQN,0.916156705882353,0.44096385542168676,5400,300.0,9,0.001,0.99,-0.7171712053086651,15.453240740740743,478,59.09205020920502,96818112.71666972,202548.3529637442,300.0,0.13779659705857436,0.0,0.0,0.0,0.0
19,250,GAT-DQN,0.9114978823529412,0.44337349397590364,5700,300.0,9,0.001,0.99,-0.637806740999612,13.369907407407407,457,52.22975929978118,86103910.03494783,188411.1816957283,300.0,0.17930187770475944,0.0,0.0,0.0,0.0
20,250,GAT-DQN,0.9068390588235294,0.44578313253012053,6000,300.0,9,0.001,0.99,-0.7579687407021853,15.888518518518516,484,56.638429752066116,102325779.99479508,211416.90081569232,300.0,0.19135039294759432,0.0,0.0,0.0,0.0
21,250,GAT-DQN,0.9021802352941176,0.44819277108433736,6300,300.0,9,0.001,0.99,-0.7844961741624684,18.13472222222222,414,54.08454106280193,105906983.51193322,255813.9698355875,300.0,0.22802015150586763,0.0,0.0,0.0,0.0
22,250,GAT-DQN,0.8975214117647059,0.45060240963855425,6600,300.0,9,0.001,0.99,-0.706867679826815,15.80537037037037,462,60.76623376623377,95427136.77662024,206552.2441052386,300.0,0.1987713109329343,0.0,0.0,0.0,0.0
23,250,GAT-DQN,0.8928625882352941,0.4530120481927711,6900,300.0,9,0.001,0.99,-0.7443014811439905,19.676111111111112,424,49.839622641509436,100480699.95443895,236982.78291141262,300.0,0.1903878036389748,0.0,0.0,0.0,0.0
24,250,GAT-DQN,0.8882037647058824,0.45542168674698796,7200,300.0,9,0.001,0.99,-0.6851078228634639,17.912407407407407,368,49.3125,92489556.08656777,251330.31545262982,300.0,0.2582697083055973,0.0,0.0,0.0,0.0
25,250,GAT-DQN,0.8835449411764706,0.45783132530120485,7500,300.0,9,0.001,0.99,-0.7016175424262252,15.566574074074076,483,57.076604554865426,94718368.22754061,196104.28204459755,300.0,0.24738474873205027,0.0,0.0,0.0,0.0
26,250,GAT-DQN,0.8788861176470588,0.4602409638554217,7800,300.0,9,0.001,0.99,-0.7270174001905422,17.478240740740738,401,50.1072319201995,98147349.02572317,244756.48136090566,300.0,0.20134729046374558,0.0,0.0,0.0,0.0
27,250,GAT-DQN,0.874227294117647,0.46265060240963857,8100,300.0,9,0.001,0.99,-0.7233619305251126,16.77824074074074,450,63.26888888888889,97653860.62089041,217008.57915753423,300.0,0.23204881043483813,0.0,0.0,0.0,0.0
28,250,GAT-DQN,0.8695684705882353,0.46506024096385545,8400,300.0,9,0.001,0.99,-0.6965623830255852,16.550925925925924,474,55.755274261603375,94035921.708454,198388.02048197045,300.0,0.2353626906995972,0.0,0.0,0.0,0.0
29,250,GAT-DQN,0.8649096470588236,0.4674698795180723,8700,300.0,9,0.001,0.99,-0.6921094177450796,13.693796296296295,514,56.72568093385214,93434771.39558569,181779.71088635348,300.0,0.27908062322686117,0.0,0.0,0.0,0.0
30,250,GAT-DQN,0.8602508235294117,0.46987951807228917,9000,300.0,9,0.001,0.99,-0.7664244471304016,16.29240740740741,479,61.38413361169102,103467300.36260432,216006.89010982114,300.0,0.2654894778256615,0.0,0.0,0.0,0.0
31,250,GAT-DQN,0.855592,0.47228915662650606,9300,300.0,9,0.001,0.99,-0.6924387861670664,15.606481481481481,476,60.27521008403362,93479236.13255408,196384.9498583069,300.0,0.2751567804565032,0.0,0.0,0.0,0.0
32,250,GAT-DQN,0.8509331764705883,0.4746987951807229,9600,300.0,9,0.001,0.99,-0.800227289613671,17.160462962962963,482,62.66597510373444,108030684.09784554,224130.04999553016,300.0,0.2830312084654967,0.0,0.0,0.0,0.0
33,250,GAT-DQN,0.8462743529411765,0.4771084337349398,9900,300.0,9,0.001,0.99,-0.7029335829831046,14.94861111111111,480,56.525,94896033.70271894,197700.0702139978,300.0,0.29473602945605915,0.0,0.0,0.0,0.0
34,250,GAT-DQN,0.8416155294117647,0.47951807228915666,10200,300.0,9,0.001,0.99,-0.7261509087314492,18.94685185185185,375,48.256,98030372.67874594,261414.3271433225,300.0,0.31365652158856394,0.0,0.0,0.0,0.0
35,250,GAT-DQN,0.8369567058823529,0.4819277108433735,10500,300.0,9,0.001,0.99,-0.7473695780704602,17.94398148148148,418,49.770334928229666,100894893.03951196,241375.3421997894,300.0,0.36270754898587865,0.0,0.0,0.0,0.0
36,250,GAT-DQN,0.8322978823529412,0.4843373493975904,10800,300.0,9,0.001,0.99,-0.7149493250263672,15.157407407407408,464,56.60775862068966,96518158.87855962,208013.2734451716,300.0,0.32226499723891416,0.0,0.0,0.0,0.0
37,250,GAT-DQN,0.8276390588235294,0.48674698795180726,11100,300.0,9,0.001,0.99,-0.7803162169878263,17.80481481481482,477,56.740041928721176,105342689.29335655,220844.2123550452,300.0,0.3514441992342472,0.0,0.0,0.0,0.0
38,250,GAT-DQN,0.8229802352941177,0.4891566265060241,11400,300.0,9,0.001,0.99,-0.7181483500318924,15.967592592592592,435,51.45977011494253,96950027.2543055,222873.62587196665,300.0,0.31705196815232434,0.0,0.0,0.0,0.0
39,250,GAT-DQN,0.818321411764706,0.491566265060241,11700,300.0,9,0.001,0.99,-0.7500613177547266,16.363333333333333,458,58.33624454148472,101258277.8968879,221087.94300630546,300.0,0.3717730120321115,0.0,0.0,0.0,0.0
40,250,GAT-DQN,0.8136625882352941,0.49397590361445787,12000,300.0,9,0.001,0.99,-0.6979937497499165,16.33787037037037,456,56.9078947368421,94229156.21623872,206642.88643912002,300.0,0.3271462496370077,0.0,0.0,0.0,0.0
41,250,GAT-DQN,0.8090037647058823,0.4963855421686747,12300,300.0,9,0.001,0.99,-0.7098167142324397,14.666481481481481,481,56.65072765072765,95825256.42137952,199220.90732095533,300.0,0.32308358763655026,0.0,0.0,0.0,0.0
42,250,GAT-DQN,0.8043449411764706,0.4987951807228916,12600,300.0,9,0.001,0.99,-0.7571967291498048,15.136666666666667,494,57.89676113360324,102221558.43522358,206926.23165025015,300.0,0.4165700669338306,0.0,0.0,0.0,0.0
43,250,GAT-DQN,0.7996861176470589,0.5012048192771085,12900,300.0,9,0.001,0.99,-0.7262412856335011,14.830462962962962,457,55.225382932166305,98042573.56052256,214535.17190486335,300.0,0.4021940217912197,0.0,0.0,0.0,0.0
44,250,GAT-DQN,0.795027294117647,0.5036144578313253,13200,300.0,9,0.001,0.99,-0.7752929843584692,16.64296296296296,455,56.58901098901099,104664552.88839306,230031.98437009464,300.0,0.37975764778753124,0.0,0.0,0.0,0.0
45,250,GAT-DQN,0.7903684705882352,0.5060240963855422,13500,300.0,9,0.001,0.99,-0.7536816991630462,16.886944444444445,457,54.0437636761488,101747029.38701119,222641.2021597619,300.0,0.4402883523454269,0.0,0.0,0.0,0.0
46,250,GAT-DQN,0.7857096470588235,0.5084337349397591,13800,300.0,9,0.001,0.99,-0.7650601184793664,18.931296296296296,473,56.65961945031712,103283115.99471436,218357.53910087605,300.0,0.3611338259528081,0.0,0.0,0.0,0.0
47,250,GAT-DQN,0.7810508235294118,0.5108433734939759,14100,300.0,9,0.001,0.99,-0.7522911629614047,15.097222222222223,516,57.35852713178294,101559306.99978957,196820.36240269296,300.0,0.37093170362214245,0.0,0.0,0.0,0.0
